gene_id,start,end,gene_length
ENSG00000116205,54053584,54112519,58936
ENSG00000233994,72274552,72275159,608
ENSG00000227556,78317157,78317263,107
ENSG00000162607,62436297,62451804,15508
ENSG00000285954,53344031,53365473,21443
ENSG00000233333,78170481,78171237,757
ENSG00000154027,77282019,77559966,277948
ENSG00000234108,80495903,80496233,331
ENSG00000232676,79521080,79522203,1124
ENSG00000213579,75582099,75582555,457
ENSG00000137960,77979542,78138444,158903
ENSG00000237852,65486406,65494188,7783
ENSG00000132855,62597520,62606313,8794
ENSG00000270549,62530636,62530873,238
ENSG00000237163,62905180,62905482,303
ENSG00000229636,73104792,73106282,1491
ENSG00000116675,65248219,65415871,167653
ENSG00000162433,65147549,65232145,84597
ENSG00000213625,65420587,65436007,15421
ENSG00000233664,52709122,52709442,321
ENSG00000158966,64470129,64693058,222930
ENSG00000213703,62641122,62641667,546
ENSG00000233674,43743471,43743741,271
ENSG00000153898,84925583,84997113,71531
ENSG00000117069,76867480,77067546,200067
ENSG00000125703,62784132,62865516,81385
ENSG00000234144,65298755,65298980,226
ENSG00000277670,80124004,80124361,358
ENSG00000227466,66042500,66050718,8219
ENSG00000230498,77081984,77086402,4419
ENSG00000162618,78889764,79282124,392361
ENSG00000224493,75521562,75522231,670
ENSG00000131233,38874069,38881587,7519
ENSG00000229225,63078081,63079031,951
ENSG00000225598,80373364,80374621,1258
ENSG00000137941,83865024,83999150,134127
ENSG00000286548,89427533,89525472,97940
ENSG00000066135,43650149,43705518,55370
ENSG00000272094,90860550,90862920,2371
ENSG00000228853,71794232,71837012,42781
ENSG00000284895,41585306,41628816,43511
ENSG00000117174,85649417,85708433,59017
ENSG00000184313,54641754,54710266,68513
ENSG00000288543,77067920,77078482,10563
ENSG00000122420,78303884,78540701,236818
ENSG00000143013,87328880,87348923,20044
ENSG00000226084,77129114,77129668,555
ENSG00000134748,52404602,52420836,16235
ENSG00000142892,77088989,77219430,130442
ENSG00000229332,60097415,60097976,562
ENSG00000227937,81080790,81081171,382
ENSG00000229752,81098267,81099005,739
ENSG00000233216,58228682,58229003,322
ENSG00000197273,42162690,42164745,2056
ENSG00000226804,44150594,44151753,1160
ENSG00000230728,54621477,54628438,6962
ENSG00000232846,51709062,51709940,879
ENSG00000230787,79054945,79056055,1111
ENSG00000116641,62454298,62688386,234089
ENSG00000172260,71395943,72282539,886597
ENSG00000285473,68974010,69023558,49549
ENSG00000234578,53267935,53268601,667
ENSG00000229505,86029854,86030589,736
ENSG00000228187,77194825,77195395,571
ENSG00000182183,52633168,52669683,36516
ENSG00000236407,80283352,80283970,619
ENSG00000271949,89633140,89933250,300111
ENSG00000227062,80464301,80464718,418
ENSG00000067334,93866284,93879918,13635
ENSG00000235011,79323769,79324863,1095
ENSG00000213559,80451083,80452004,922
ENSG00000287587,42036143,42051784,15642
ENSG00000142949,43525187,43623666,98480
ENSG00000232882,90892992,90893612,621
ENSG00000171502,85729233,86156943,427711
ENSG00000116157,52602371,52609051,6681
ENSG00000143036,94820342,94895246,74905
ENSG00000065243,88684222,88836255,152034
ENSG00000226960,93927714,93928302,589
ENSG00000234080,50326131,50327007,877
ENSG00000285409,79967733,80051404,83672
ENSG00000117528,94418389,94518666,100278
ENSG00000271723,54641786,54742308,100523
ENSG00000036549,77562416,77683419,121004
ENSG00000225191,103926567,103927806,1240
ENSG00000287870,77248633,77250826,2194
ENSG00000232048,67660155,67661013,859
ENSG00000232857,94650544,94651378,835
ENSG00000273637,38839333,38874494,35162
ENSG00000228838,53288024,53289706,1683
ENSG00000283761,99970011,100083321,113311
ENSG00000189433,34759740,34762327,2588
ENSG00000142700,50417550,50423443,5894
ENSG00000233514,44122153,44122512,360
ENSG00000127124,41506365,42035925,529561
ENSG00000266993,51793934,51799154,5221
ENSG00000229316,50398825,50399773,949
ENSG00000234099,93922574,93923945,1372
ENSG00000137936,93561741,93847150,285410
ENSG00000232752,93924743,93925385,643
ENSG00000235829,14692129,14692613,485
ENSG00000143032,90711539,90717302,5764
ENSG00000280040,98660388,98661059,672
ENSG00000117519,94896949,94927223,30275
ENSG00000238037,44155028,44155301,274
ENSG00000134215,107571161,107965180,394020
ENSG00000227935,57386576,57387450,875
ENSG00000228502,96446930,96448318,1389
ENSG00000271277,101882516,101882894,379
ENSG00000236888,57605847,57606206,360
ENSG00000230828,50114937,50115282,346
ENSG00000152078,95117355,95197607,80253
ENSG00000171492,89821014,89936611,115598
ENSG00000233129,93934479,93935244,766
ENSG00000170989,101236865,101243713,6849
ENSG00000237897,105890693,105891430,738
ENSG00000116299,109113679,109206781,93103
ENSG00000137962,94148988,94275068,126081
ENSG00000286692,94417743,94418228,486
ENSG00000260464,93847174,93848939,1766
ENSG00000231996,99842610,99842761,152
ENSG00000117154,18107798,18378483,270686
ENSG00000162377,52684449,52698347,13899
ENSG00000116774,113979391,114035572,56182
ENSG00000287756,14774469,14777727,3259
ENSG00000284652,9421098,9422862,1765
ENSG00000023909,93885199,93909456,24258
ENSG00000069702,91680343,91906335,225993
ENSG00000228399,101256274,101256616,343
ENSG00000236776,56538452,56538911,460
ENSG00000271252,95743096,95759470,16375
ENSG00000235794,93924386,93924716,331
ENSG00000233983,99464378,99464776,399
ENSG00000198198,43389882,43454247,64366
ENSG00000116793,113696831,113759489,62659
ENSG00000232918,94406395,94406882,488
ENSG00000183298,101786340,101787219,880
ENSG00000117525,94529173,94541759,12587
ENSG00000162699,101893105,101894047,943
ENSG00000203914,91642516,91644082,1567
ENSG00000270457,59289303,59289640,338
ENSG00000231987,96254069,96374125,120057
ENSG00000229842,93925406,93926072,667
ENSG00000198162,117367449,117528872,161424
ENSG00000171517,84811602,84893206,81605
ENSG00000203864,116694112,116706603,12492
ENSG00000233482,94145111,94145619,509
ENSG00000143079,112396214,112463456,67243
ENSG00000232450,113698884,113699631,748
ENSG00000235038,58060139,58080274,20136
ENSG00000173947,111346600,111353013,6414
ENSG00000134198,115048011,115089503,41493
ENSG00000279513,117493515,117495006,1492
ENSG00000117620,99969351,100035634,66284
ENSG00000162688,99850361,99924023,73663
ENSG00000197106,110150494,110202202,51709
ENSG00000231072,116713833,116714835,1003
ENSG00000185946,103525691,103555239,29549
ENSG00000162627,98661701,98760500,98800
ENSG00000265808,120150898,120176520,25623
ENSG00000225923,96390652,96391393,742
ENSG00000134247,116909916,116990353,80438
ENSG00000162664,89995110,90035533,40424
ENSG00000134253,117111060,117122587,11528
ENSG00000223416,58056133,58056480,348
ENSG00000179571,143595216,143635641,40426
ENSG00000227850,105698039,105698218,180
ENSG00000285532,90835660,90849472,13813
ENSG00000226755,117549415,117549922,508
ENSG00000183508,117606048,117628389,22342
ENSG00000277095,143354191,143386122,31932
ENSG00000264145,143449571,143450245,675
ENSG00000238256,113576757,113576899,143
ENSG00000198765,114854863,114995370,140508
ENSG00000143398,151197949,151249536,51588
ENSG00000196505,117863485,117929621,66137
ENSG00000223489,116739981,116742609,2629
ENSG00000230546,58084419,58084559,141
ENSG00000213262,117640812,117641639,828
ENSG00000287015,90045998,90047109,1112
ENSG00000235526,110177643,110178719,1077
ENSG00000228347,104153306,104153830,525
ENSG00000236012,111380291,111380571,281
ENSG00000134200,115029826,115034302,4477
ENSG00000065183,117929720,117966543,36824
ENSG00000226126,118614333,118615646,1314
ENSG00000163156,151156664,151170296,13633
ENSG00000228453,117138229,117138609,381
ENSG00000261168,151130075,151131610,1536
ENSG00000233432,121502344,121503891,1548
ENSG00000229911,118712999,118713678,680
ENSG00000171943,121184811,121392874,208064
ENSG00000270719,117700029,117700242,214
ENSG00000155761,117953590,118185228,231639
ENSG00000116830,117060326,117107453,47128
ENSG00000234422,96418594,96418933,340
ENSG00000227091,110165948,110172489,6542
ENSG00000081026,113390515,113685923,295409
ENSG00000143458,151070578,151125542,54965
ENSG00000230932,106080801,106081379,579
ENSG00000225036,105433994,105434821,828
ENSG00000250890,93926032,93926188,157
ENSG00000232240,111323833,111324075,243
ENSG00000234388,112363281,112363581,301
ENSG00000233717,151111912,151112728,817
ENSG00000163155,151159748,151165948,6201
ENSG00000241975,88829102,88829419,318
ENSG00000270976,106780223,106780435,213
ENSG00000228217,117778087,117778506,420
ENSG00000270342,106544342,106544744,403
ENSG00000116824,116754430,116769229,14800
ENSG00000235887,143499187,143500512,1326
ENSG00000235756,80092103,80093237,1135
ENSG00000173810,101270875,101271363,489
ENSG00000271890,159581620,159582648,1029
ENSG00000283360,161403409,161470523,67115
ENSG00000117262,145607988,145670650,62663
ENSG00000227970,114837227,114851453,14227
ENSG00000231613,89788914,89790492,1579
ENSG00000236689,93926615,93927569,955
ENSG00000226028,143619994,143620527,534
ENSG00000203825,143541768,143572834,31067
ENSG00000184371,109910242,109930992,20751
ENSG00000233449,106802755,106803427,673
ENSG00000242943,143487772,143488353,582
ENSG00000232499,113449700,113450728,1029
ENSG00000163154,151156649,151159749,3101
ENSG00000232995,163244505,163321894,77390
ENSG00000238087,166566178,166580705,14528
ENSG00000143158,167916675,167937072,20398
ENSG00000271092,95117923,95247225,129303
ENSG00000232148,166763334,166792767,29434
ENSG00000000460,169662007,169854080,192074
ENSG00000135862,183023420,183145592,122173
ENSG00000232952,105891739,105893517,1779
ENSG00000260322,80114943,80116918,1976
ENSG00000143156,169132531,169367948,235418
ENSG00000198771,167630093,167708696,78604
ENSG00000225462,187563061,187564131,1071
ENSG00000237756,163259850,163260659,810
ENSG00000271187,191179521,191179739,219
ENSG00000231175,190624890,190801658,176769
ENSG00000143185,168540768,168543997,3230
ENSG00000272931,89820174,89820868,695
ENSG00000143190,167220876,167427345,206470
ENSG00000225475,56619409,56619549,141
ENSG00000232223,166796266,166797183,918
ENSG00000224468,183138402,183141282,2881
ENSG00000232551,106804474,106806032,1559
ENSG00000238270,189868001,189868528,528
ENSG00000236025,190781787,190781995,209
ENSG00000230704,169762929,169764648,1720
ENSG00000286754,176829128,176831841,2714
ENSG00000143171,165400922,165445355,44434
ENSG00000275767,144179777,144211729,31953
ENSG00000047410,186311652,186375693,64042
ENSG00000171806,169792529,169794963,2435
ENSG00000134216,111290851,111320566,29716
ENSG00000230748,165497724,165498348,625
ENSG00000238108,190797524,190797956,433
ENSG00000135842,184790724,184974508,183785
ENSG00000287472,189868381,189876160,7780
ENSG00000241318,91534666,91535593,928
ENSG00000228238,186578279,186579299,1021
ENSG00000232393,91023919,91024804,886
ENSG00000184155,159535078,159536007,930
ENSG00000058085,183186238,183245127,58890
ENSG00000232917,203903723,203904013,291
ENSG00000233057,194188967,194190342,1376
ENSG00000143167,167052836,167166479,113644
ENSG00000143184,168576605,168582069,5465
ENSG00000224691,186176814,186177302,489
ENSG00000233626,211936249,211936634,386
ENSG00000143228,163266576,163355764,89189
ENSG00000231714,194350943,194352426,1484
ENSG00000116833,200027614,200177420,149807
ENSG00000000457,169849631,169894267,44637
ENSG00000285638,190878145,191151410,273266
ENSG00000230987,189989570,189993097,3528
ENSG00000228167,194718795,194719236,442
ENSG00000150732,188067298,188067525,228
ENSG00000157064,183248237,183418380,170144
ENSG00000288139,169915004,169915198,195
ENSG00000059588,234391313,234479179,87867
ENSG00000162782,179591613,179691272,99660
ENSG00000238051,170211010,170211457,448
ENSG00000233196,186580515,186581191,677
ENSG00000229220,200147531,200148279,749
ENSG00000227747,198949016,198949805,790
ENSG00000228081,209173014,209173375,362
ENSG00000228020,191146025,191146961,937
ENSG00000234975,228687415,228687826,412
ENSG00000162851,246540561,246566261,25701
ENSG00000271427,117364899,117365473,575
ENSG00000143353,219173869,219212865,38997
ENSG00000197965,167721192,167791919,70728
ENSG00000143493,211940399,212035557,95159
ENSG00000230777,175921975,175922145,171
ENSG00000179397,244454377,244641177,186801
ENSG00000224540,209232196,209233419,1224
ENSG00000186197,236348257,236502915,154659
ENSG00000229067,91600171,91600321,151
ENSG00000261182,188218400,188220676,2277
ENSG00000162670,190097658,190478404,380747
ENSG00000225712,209267798,209268223,426
ENSG00000162761,165201867,165356715,154849
ENSG00000143199,167809386,167914215,104830
ENSG00000007908,169722640,169764705,42066
ENSG00000092978,217426992,217631090,204099
ENSG00000188404,169690665,169711702,21038
ENSG00000274702,187632166,187632439,274
ENSG00000226211,221133865,221134221,357
ENSG00000203697,223538007,223665723,127717
ENSG00000116574,228735479,228746664,11186
ENSG00000143248,163111121,163321791,210671
ENSG00000162814,217631324,217871696,240373
ENSG00000225172,198973379,198985506,12128
ENSG00000261642,191151510,191154634,3125
ENSG00000228239,157232231,157237136,4906
ENSG00000237283,188705623,188732208,26586
ENSG00000116132,170662728,170739421,76694
ENSG00000229242,215886582,215901464,14883
ENSG00000152092,176857302,177164973,307672
ENSG00000234984,166665885,166682196,16312
ENSG00000229983,212168207,212190259,22053
ENSG00000225122,163422405,163423164,760
ENSG00000225920,219199914,219200567,654
ENSG00000143476,212035553,212107400,71848
ENSG00000057252,179293714,179358680,64967
ENSG00000285718,194785517,194931310,145794
ENSG00000233018,235097187,235097412,226
ENSG00000224783,238777049,238779200,2152
ENSG00000162852,246566444,246668595,102152
ENSG00000268062,171345105,171345307,203
ENSG00000116962,235975830,236065109,89280
ENSG00000229757,168578653,168579439,787
ENSG00000220749,212051524,212052006,483
ENSG00000181450,227563543,227677443,113901
ENSG00000225300,246605873,246608102,2230
ENSG00000223842,219222248,219225497,3250
ENSG00000143355,197911902,197935478,23577
ENSG00000237193,227482253,227482454,202
ENSG00000223490,93921268,93921667,400
ENSG00000174502,205913048,205943460,30413
ENSG00000143195,166895711,166975540,79830
ENSG00000162849,245154985,245709432,554448
ENSG00000232824,198197779,198198186,408
ENSG00000067533,218285293,218337983,52691
ENSG00000228955,246632251,246632478,228
ENSG00000224702,165210627,165213090,2464
ENSG00000271811,170667381,170669425,2045
ENSG00000224278,188242139,188242678,540
ENSG00000226486,188905688,189037564,131877
ENSG00000227687,205935128,205935768,641
ENSG00000231814,217892900,217920804,27905
ENSG00000277007,219270774,219273387,2614
ENSG00000229016,218301262,218301972,711
ENSG00000152104,214348700,214552449,203750
ENSG00000117650,211658657,211675630,16974
ENSG00000203724,197902630,197907367,4738
ENSG00000225006,188508538,188536465,27928
ENSG00000223375,218338541,218338756,216
ENSG00000230714,218031835,218033660,1826
ENSG00000173726,235109341,235128837,19497
ENSG00000282852,110256754,110256930,177
ENSG00000152382,166856510,166876264,19755
ENSG00000232100,218043505,218059140,15636
ENSG00000230547,171270954,171271590,637
ENSG00000232215,248003129,248004068,940
ENSG00000135829,182839347,182887982,48636
ENSG00000134717,52056199,52090716,34518
ENSG00000278180,227490691,227492296,1606
ENSG00000232341,166747379,166748660,1282
ENSG00000287676,219294982,219297668,2687
ENSG00000236792,192247505,192247947,443
ENSG00000143207,175944831,176207286,262456
ENSG00000270859,242671140,242671576,437
ENSG00000238224,245614773,245615145,373
ENSG00000237492,247974741,247975653,913
ENSG00000150681,192158462,192185815,27354
ENSG00000116906,231241207,231277973,36767
ENSG00000092969,218345336,218444619,99284
ENSG00000157181,186375838,186421378,45541
ENSG00000250762,167819898,167820248,351
ENSG00000076258,171314183,171342084,27902
ENSG00000117697,212726153,212791782,65630
ENSG00000235083,188671353,188671759,407
ENSG00000162669,91260766,91404856,144091
ENSG00000225904,176367699,176368401,703
ENSG00000143641,230057990,230282122,224133
ENSG00000010932,171248471,171285978,37508
ENSG00000010072,231337104,231355023,17920
ENSG00000135766,231363751,231422287,58537
ENSG00000238054,188869474,188888540,19067
ENSG00000168243,235547685,235650754,103070
ENSG00000281453,218442626,218443996,1371
ENSG00000237469,227493029,227495142,2114
ENSG00000227613,222261833,222262796,964
ENSG00000116183,176463171,176845601,382431
ENSG00000231612,245673732,245676478,2747
ENSG00000271036,189035961,189036444,484
ENSG00000170382,204617170,204685738,68569
ENSG00000226868,211715928,211725402,9475
ENSG00000279401,185518651,185520986,2336
ENSG00000287450,231339421,231339558,138
ENSG00000237011,193684246,193688429,4184
ENSG00000066027,212285410,212361853,76444
ENSG00000173728,244352635,244389663,37029
ENSG00000225811,190264898,190362270,97373
ENSG00000273093,200315435,200315967,533
ENSG00000185523,212830141,212847649,17509
ENSG00000116711,186828949,186988981,160033
ENSG00000226750,242345558,242345718,161
ENSG00000285665,171339299,171339959,661
ENSG00000231022,188694320,188695111,792
ENSG00000224436,232221938,232222174,237
ENSG00000234915,212299495,212331713,32219
ENSG00000227585,221549786,221550643,858
ENSG00000157060,182899865,182953525,53661
ENSG00000237213,193756815,193757267,453
ENSG00000213045,200329161,200329677,517
ENSG00000230063,212297448,212299579,2132
ENSG00000235467,242365189,242365822,634
ENSG00000123684,211743457,211830763,87307
ENSG00000225338,212309051,212309518,468
ENSG00000224407,230280312,230281893,1582
ENSG00000232463,176231200,176231830,631
ENSG00000225171,166868748,166869209,462
ENSG00000235386,246818076,246818180,105
ENSG00000213690,242376923,242377432,510
ENSG00000229832,212357418,212358353,936
ENSG00000237514,176616273,176616786,514
ENSG00000287856,231363797,231528603,164807
ENSG00000203705,212791828,212816830,25003
ENSG00000224040,182942115,182942404,290
ENSG00000228686,176017277,176018760,1484
ENSG00000174175,169588849,169630193,41345
ENSG00000236401,187706561,187708898,2338
ENSG00000215800,242772620,242773103,484
ENSG00000270936,210462345,210463012,668
ENSG00000008118,209583714,209613939,30226
ENSG00000171161,248838210,248849517,11308
ENSG00000241505,190480379,190494297,13919
ENSG00000261453,208606564,208614295,7732
ENSG00000231020,176305672,176306095,424
ENSG00000270818,242882066,242883475,1410
ENSG00000196878,209614870,209652425,37556
ENSG00000225561,218912757,218918714,5958
ENSG00000074964,17539698,17697874,158177
ENSG00000223847,187714243,187714735,493
ENSG00000277704,242890247,242890803,557
ENSG00000240963,244375100,244409592,34493
ENSG00000226570,182955390,182956148,759
ENSG00000198929,162069691,162370475,300785
ENSG00000174606,212992182,213015867,23686
ENSG00000236905,212824027,212824505,479
ENSG00000227887,208697369,208697698,330
ENSG00000116903,231332753,231337852,5100
ENSG00000226196,189132350,189133292,943
ENSG00000287354,210362861,210366948,4088
ENSG00000233827,200213678,200214322,645
ENSG00000198797,177170958,177282422,111465
ENSG00000151414,198156994,198322420,165427
ENSG00000177614,230314490,230426332,111843
ENSG00000235182,212853280,212853426,147
ENSG00000287157,210386657,210394112,7456
ENSG00000225755,163237214,163239197,1984
ENSG00000197472,246945547,247008093,62547
ENSG00000230184,246321663,246322438,776
ENSG00000232436,221508559,221510979,2421
ENSG00000136643,213051233,213274774,223542
ENSG00000236317,212855175,212855366,192
ENSG00000176855,182959074,182960405,1332
ENSG00000225401,244394976,244395660,685
ENSG00000228190,199371877,199372297,421
ENSG00000135747,246945547,247078811,133265
ENSG00000069248,229440259,229508341,68083
ENSG00000253148,192316992,192367285,50294
ENSG00000227751,17406760,17407382,623
ENSG00000090104,192575763,192580024,4262
ENSG00000236468,199387141,199388475,1335
ENSG00000185220,248906196,248919946,13751
ENSG00000236101,234026851,234027227,377
ENSG00000162769,212858275,212899363,41089
ENSG00000278684,209001338,209001476,139
ENSG00000236775,247015068,247017291,2224
ENSG00000042781,215622891,216423448,800558
ENSG00000228646,213428708,213429077,370
ENSG00000233332,234212606,234215088,2483
ENSG00000231984,199752491,199752890,400
ENSG00000277462,247034637,247078811,44175
ENSG00000035687,244408494,244451909,43416
ENSG00000180287,242082986,242524697,441712
ENSG00000226693,218881600,218882650,1051
ENSG00000231272,234261706,234274465,12760
ENSG00000223828,174756850,174757119,270
ENSG00000226723,192246708,192247487,780
ENSG00000272672,89939601,89940147,547
ENSG00000235096,246025897,246035603,9707
ENSG00000007341,112523514,112620825,97312
ENSG00000143324,180632022,180890279,258258
ENSG00000225222,246178778,246179204,427
ENSG00000198842,167094075,167129165,35091
ENSG00000286619,205813322,205896082,82761
ENSG00000198756,183929854,184037729,107876
ENSG00000227554,183754418,183754937,520
ENSG00000178596,94302038,94303022,985
ENSG00000054282,243256034,243500091,244058
ENSG00000183780,233904676,234324511,419836
ENSG00000229663,248771635,248773792,2158
ENSG00000162702,200404940,200410056,5117
ENSG00000228530,199876978,199877558,581
ENSG00000143194,166975582,167022214,46633
ENSG00000054267,235131634,235328219,196586
ENSG00000287921,233904104,233905931,1828
ENSG00000232166,234284972,234285541,570
ENSG00000175137,248810446,248825915,15470
ENSG00000134245,112466541,112530165,63625
ENSG00000187889,56718789,56819696,100908
ENSG00000097046,91500851,91525764,24914
ENSG00000231378,174849667,174850168,502
ENSG00000235605,234356704,234357141,438
ENSG00000224857,121573946,121580524,6579
ENSG00000273367,234372186,234372811,626
ENSG00000231605,167175363,167195792,20430
ENSG00000236358,234357006,234365828,8823
ENSG00000203737,174447964,174449545,1582
ENSG00000215873,91328369,91329513,1145
ENSG00000185420,245749342,246507312,757971
ENSG00000272175,51801028,51801307,280
ENSG00000213070,164356767,164357364,598
ENSG00000229747,199908921,199909648,728
ENSG00000136636,215567304,215621807,54504
ENSG00000225486,233836080,233836432,353
ENSG00000163874,37474580,37484377,9798
ENSG00000213068,167162423,167162837,415
ENSG00000054392,210328252,210676296,348045
ENSG00000188739,235131183,235161283,30101
ENSG00000273198,186521773,186522304,532
ENSG00000225719,164343005,164343864,860
ENSG00000273483,112517799,112518441,643
ENSG00000232809,215376484,215377374,891
ENSG00000285981,104998406,105032365,33960
ENSG00000215796,247042791,247044021,1231
ENSG00000233047,105927620,106028277,100658
